recording_id,split,first_channel,second_channel,lag_samples,correlation,overlap_samples
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,LateralAcc,PitchRate,-29.0,-0.3120291881090641,411.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,LateralAcc,YawRate,-38.0,-0.46854612160258136,402.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,RollRate,PitchRate,-20.0,0.5763023919983434,420.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,RollRate,YawRate,-5.0,0.7259864951736494,435.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,PitchRate,YawRate,7.0,0.5821493863744659,433.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,InlineAcc,LateralAcc,1.0,0.6330810662795461,199.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,InlineAcc,RollRate,-1.0,0.563189054804251,199.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,InlineAcc,PitchRate,14.0,0.5861021556790915,186.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,InlineAcc,YawRate,-3.0,0.659119977521447,197.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,LateralAcc,RollRate,-33.0,0.7075967874103508,167.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,LateralAcc,PitchRate,-22.0,0.6239186557575035,178.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,LateralAcc,YawRate,-30.0,0.7998932259383262,170.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,RollRate,PitchRate,15.0,0.8126807392549272,185.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,RollRate,YawRate,4.0,0.868115920915997,196.0
7208a43e77536a72e401c00f01a793130fb6688d28fb8080941e14cc5752b0ca,train,PitchRate,YawRate,-8.0,0.8087005885933699,192.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,InlineAcc,LateralAcc,1.0,0.9011135996330358,219.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,InlineAcc,RollRate,-44.0,-0.34056811974207074,176.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,InlineAcc,PitchRate,-60.0,0.53604253784575,160.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,InlineAcc,YawRate,-5.0,0.5673787412479928,215.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,LateralAcc,RollRate,-45.0,-0.3584119524537641,175.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,LateralAcc,PitchRate,-61.0,0.4553362301448758,159.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,LateralAcc,YawRate,-7.0,0.5848109446804365,213.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,RollRate,PitchRate,-83.0,0.48158147922086625,137.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,RollRate,YawRate,-3.0,0.47916072138291976,217.0
73093667f33a7f710fc20059989a002071359119e1e9c0a4128b67729755da33,train,PitchRate,YawRate,60.0,0.4017202603810686,160.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,InlineAcc,LateralAcc,7.0,-0.4781059960805413,2153.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,InlineAcc,RollRate,2.0,0.6930463921089189,2158.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,InlineAcc,PitchRate,0.0,0.6327924719089436,2160.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,InlineAcc,YawRate,2.0,0.7373994966923018,2158.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,LateralAcc,RollRate,0.0,-0.7791546429220624,2160.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,LateralAcc,PitchRate,2.0,-0.6323052015431864,2158.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,LateralAcc,YawRate,1.0,-0.8127418608593319,2159.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,RollRate,PitchRate,-2.0,0.7433919590309545,2158.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,RollRate,YawRate,0.0,0.9401896377646297,2160.0
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,PitchRate,YawRate,1.0,0.8192401995483509,2159.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,InlineAcc,LateralAcc,5.0,-0.47194269154078766,9135.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,InlineAcc,RollRate,1.0,0.7069178950688679,9139.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,InlineAcc,PitchRate,1.0,0.6391886717707131,9139.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,InlineAcc,YawRate,2.0,0.7521215585992032,9138.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,LateralAcc,RollRate,0.0,-0.8321655253311445,9140.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,LateralAcc,PitchRate,0.0,-0.6974445824046102,9140.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,LateralAcc,YawRate,1.0,-0.8727017337152709,9139.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,RollRate,PitchRate,-2.0,0.7624811713201803,9138.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,RollRate,YawRate,1.0,0.9456776379803726,9139.0
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,PitchRate,YawRate,1.0,0.8217759781881332,9139.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,InlineAcc,LateralAcc,72.0,0.6385191169150697,188.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,InlineAcc,RollRate,92.0,-0.7654989770421499,168.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,InlineAcc,PitchRate,95.0,-0.7651999787373005,165.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,InlineAcc,YawRate,95.0,-0.7818491664429249,165.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,LateralAcc,RollRate,-60.0,0.742491148911962,200.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,LateralAcc,PitchRate,-64.0,0.697843445084357,196.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,LateralAcc,YawRate,-61.0,0.7694230149668437,199.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,RollRate,PitchRate,1.0,0.8459062481750255,259.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,RollRate,YawRate,1.0,0.9517097761131783,259.0
973ef84ffaa4e83d002ed655331eb305b340c0f3f25b57795f97a151bcc3490b,validation,PitchRate,YawRate,1.0,0.8931487057449493,259.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,InlineAcc,LateralAcc,9.0,-0.43601400935288415,2471.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,InlineAcc,RollRate,2.0,0.6678586917781824,2478.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,InlineAcc,PitchRate,0.0,0.6209437616239948,2480.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,InlineAcc,YawRate,2.0,0.7180837362351427,2478.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,LateralAcc,RollRate,0.0,-0.7726531335449801,2480.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,LateralAcc,PitchRate,1.0,-0.6409444412371602,2479.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,LateralAcc,YawRate,1.0,-0.8010557754622485,2479.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,RollRate,PitchRate,2.0,0.7412645304320673,2478.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,RollRate,YawRate,1.0,0.9389083738778045,2479.0
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,PitchRate,YawRate,1.0,0.8280763554267974,2479.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,InlineAcc,LateralAcc,0.0,0.9298845504598524,220.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,InlineAcc,RollRate,-72.0,0.4571480177885501,148.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,InlineAcc,PitchRate,-52.0,0.5729608836476224,168.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,InlineAcc,YawRate,-71.0,0.5850081741475676,149.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,LateralAcc,RollRate,34.0,-0.4633163425584854,186.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,LateralAcc,PitchRate,-53.0,0.6080651285444203,167.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,LateralAcc,YawRate,-71.0,0.6015581482052335,149.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,RollRate,PitchRate,14.0,0.7121210067384611,206.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,RollRate,YawRate,1.0,0.8603172522678626,219.0
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,validation,PitchRate,YawRate,-9.0,0.7561890636549734,211.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,InlineAcc,LateralAcc,3.0,-0.5362853249057283,4837.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,InlineAcc,RollRate,1.0,0.7303080204084411,4839.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,InlineAcc,PitchRate,0.0,0.6689954697201226,4840.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,InlineAcc,YawRate,2.0,0.7791533461418525,4838.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,LateralAcc,RollRate,0.0,-0.846110582455786,4840.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,LateralAcc,PitchRate,0.0,-0.7107843618726881,4840.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,LateralAcc,YawRate,1.0,-0.8864422824527441,4839.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,RollRate,PitchRate,-2.0,0.7780532592333192,4838.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,RollRate,YawRate,1.0,0.9466737843480075,4839.0
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,PitchRate,YawRate,1.0,0.832065806956497,4839.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,InlineAcc,LateralAcc,0.0,0.6166935811112534,420.0
