elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
179.35,242.39598249999952,224.80174749999932,-242.94168499737447,-298.4054005686248
179.4,242.3996899999995,224.80054999999933,-243.00837021737448,-298.5067768129999
179.45,242.40383999999952,224.79979499999934,-243.07449155499944,-298.60724594224985
179.5,242.40839749999952,224.79944749999933,-243.14210840674946,-298.70898993599985
179.55,242.41354999999953,224.79969499999933,-243.20977429174948,-298.8117636279999
179.6,242.41845499999954,224.79969499999933,-243.27582207949945,-298.91468441974985
179.65,242.42280749999955,224.79914249999933,-243.34142856799946,-299.0173110119999
179.7,242.42626499999955,224.79769499999932,-243.40975640187443,-299.11993760424986
179.75,242.42926249999954,224.79578749999934,-243.47793713599944,-299.2220003141249
179.8,242.43190999999953,224.79352999999932,-243.54560302099947,-299.3234746249999
179.85,242.43401999999952,224.79073499999933,-243.61248437399945,-299.42561088474986
179.9,242.43535999999952,224.78716999999932,-243.67848312849947,-299.5270606789999
179.95,242.4371649999995,224.78406999999933,-243.74546254799944,-299.6242200638748
180.0,242.4412049999995,224.78320499999933,-243.81349618237445,-299.72017813412486
180.05,242.44587249999952,224.78296749999933,-243.88118658399947,-299.8200098311249
180.1,242.45119499999953,224.78338499999933,-243.94492980899943,-299.92011121099983
180.15,242.45751999999953,224.78480499999932,-243.99952833287443,-300.01447570062487
180.2,242.46115249999954,224.78353249999932,-244.0516997108744,-300.10739370937483
180.25,242.46192249999953,224.77939749999933,-244.11178995874943,-300.20629377462484
180.3,242.46425749999952,224.77682749999934,-244.17943132712443,-300.30992554849985
180.35,242.46572749999953,224.77339249999935,-244.2516082711244,-300.4162051178748
180.4,242.46476499999952,224.76752499999935,-244.32584461162443,-300.52439698399985
180.45,242.4668749999995,224.76472999999936,-244.4009635506244,-300.6330546659998
180.5,242.4713649999995,224.76431499999936,-244.4763276558744,-300.7416878313748
180.55,242.4761499999995,224.76419499999935,-244.5506620628744,-300.84983066424985
180.6,242.4825249999995,224.76566499999936,-244.62440807087438,-300.9573850981248
180.65,242.4908199999995,224.76905499999936,-244.6982766619994,-301.06432661637484
180.7,242.5000074999995,224.77333749999934,-244.77175298712436,-301.1711700681248
180.75,242.5085899999995,224.77701499999935,-244.84508221249936,-301.27862643549986
180.8,242.5179424999995,224.78146249999935,-244.91956371924937,-301.38632796912486
180.85,242.53133249999948,224.78994749999936,-244.99394715949936,-301.49383336974984
180.9,242.5483274999995,224.80203749999936,-245.06715380174938,-301.60043165524985
180.95,242.56486749999948,224.81367249999934,-245.13969849512435,-301.70641702512484
181.0,242.5785649999995,224.82246499999934,-245.21251287137437,-301.8130888604999
181.05,242.58906999999948,224.82806499999936,-245.28657759549938,-301.9206187777499
181.1,242.59828249999947,224.83237249999937,-245.36142685162434,-302.02915387662483
181.15,242.60436749999948,224.83355249999937,-245.43882583674937,-302.13889029012483
181.2,242.60608249999947,224.83036249999938,-245.52051523124933,-302.2527209799998
181.25,242.61670249999946,224.8360774999994,-245.61392357249935,-302.37567185437484
181.3,242.63807999999946,224.85254999999938,-245.71723663024937,-302.50565900012487
