recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split,Embeddings_support,Autoencoder_support,Contrastive_support,Sequence_support,Unsupervised_support,consensus_support,support_iqr,method_count
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,20.0,30.0,0.9999976670576406,0.1369500457796598,0.9980417523723624,0.1371398356702335,-0.7522783343047854,test,0.9516616314199395,0.7054380664652568,0.9577039274924471,0.6873111782477341,0.6389728096676737,0.7054380664652568,0.2643504531722054,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,22.0,32.0,0.999980716989982,0.1295599334055992,0.994980908978376,0.1287458637530767,-0.6823574666865163,test,0.5996978851963746,0.7054380664652568,0.9214501510574018,0.6948640483383686,0.7416918429003021,0.7054380664652568,0.04682779456193353,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,24.0,34.0,0.9998308485249916,0.1205362817485831,0.974542821067894,0.1168203080757022,-0.6517285969570712,test,0.2824773413897281,0.7326283987915407,0.4471299093655589,0.7129909365558912,0.8141993957703928,0.7129909365558912,0.2854984894259818,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,26.0,36.0,0.9999389737969896,0.1093909186780466,0.9866250857750294,0.1034558420908213,-0.5920612071705509,test,0.43051359516616317,0.7522658610271903,0.6993957703927492,0.7250755287009063,0.8716012084592145,0.7250755287009063,0.052870090634441036,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,28.0,38.0,0.99994754067262,0.0938960205651248,0.9847378840157448,0.0844938418989992,-0.606200587314302,test,0.4561933534743202,0.7598187311178247,0.649546827794562,0.756797583081571,0.8610271903323263,0.756797583081571,0.11027190332326275,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,30.0,40.0,0.9999642694418912,0.0950534639116652,0.9829734459004272,0.0877860044645012,-0.5906649980655159,test,0.5060422960725075,0.7598187311178247,0.620845921450151,0.7507552870090635,0.8761329305135952,0.7507552870090635,0.13897280966767367,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,32.0,42.0,0.999967130662904,0.0899988948389679,0.9480740081009674,0.085771996956077,-0.6414560841315128,test,0.5241691842900302,0.7658610271903323,0.18277945619335348,0.7552870090634441,0.8277945619335347,0.7552870090634441,0.2416918429003021,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,34.0,44.0,0.9999698265395242,0.0827351774606261,0.9809169236787868,0.0794343544382816,-0.7064638010352728,test,0.5362537764350453,0.7779456193353474,0.5725075528700906,0.7688821752265861,0.6993957703927492,0.6993957703927492,0.1963746223564955,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,36.0,46.0,0.999953775812638,0.0860356445120887,0.9810216279288612,0.0832528100794057,-0.7332903720829532,test,0.4697885196374622,0.7719033232628398,0.5740181268882175,0.7598187311178247,0.6570996978851964,0.6570996978851964,0.1858006042296072,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,38.0,48.0,0.9999868397674032,0.0899184556867458,0.9920438881908056,0.0885960221226951,-0.7537300184072442,test,0.6706948640483383,0.7673716012084593,0.8459214501510574,0.7492447129909365,0.6374622356495468,0.7492447129909365,0.09667673716012093,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,40.0,50.0,0.999993768772268,0.0950735961126021,0.9968354091616576,0.0922025168754803,-0.7498856722320875,test,0.8308157099697885,0.7598187311178247,0.9441087613293051,0.7416918429003021,0.6435045317220544,0.7598187311178247,0.08912386706948638,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,42.0,52.0,0.9999838984917582,0.1088542753287986,0.9953777604816838,0.1023939805277761,-0.7590848605496163,test,0.6314199395770392,0.7522658610271903,0.9229607250755287,0.7311178247734139,0.6299093655589124,0.7311178247734139,0.12084592145015105,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,44.0,54.0,0.9999944132663018,0.1097118714139602,0.9981955740810534,0.107861872391245,-0.7502101609360361,test,0.8640483383685801,0.7522658610271903,0.9607250755287009,0.7190332326283988,0.6435045317220544,0.7522658610271903,0.14501510574018128,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,46.0,56.0,0.9999976670576406,0.1223876558446623,0.998283882557339,0.1173838436660488,-0.7547538647225291,test,0.9516616314199395,0.7250755287009063,0.9607250755287009,0.7129909365558912,0.6374622356495468,0.7250755287009063,0.23867069486404835,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,48.0,58.0,0.9999971410332396,0.1299707804582068,0.9988341053955888,0.1265277880371042,-0.7700194150038725,test,0.945619335347432,0.7054380664652568,0.9607250755287009,0.6963746223564955,0.620845921450151,0.7054380664652568,0.24924471299093653,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,50.0,60.0,0.9999986545437032,0.1441098621165809,0.9986340021312456,0.143435563165745,-0.788944752720871,test,0.9667673716012085,0.6978851963746223,0.9607250755287009,0.6858006042296072,0.6072507552870091,0.6978851963746223,0.2749244712990937,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,52.0,62.0,0.9999959912712046,0.1599014729863082,0.9982771904290828,0.1545349662813659,-0.8018031934976799,test,0.9108761329305136,0.6888217522658611,0.9607250755287009,0.6797583081570997,0.6042296072507553,0.6888217522658611,0.23111782477341392,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,54.0,64.0,0.9999992641999724,0.1649150669791768,0.9989004674291484,0.1615974267742677,-0.8338968303468869,test,0.986404833836858,0.6888217522658611,0.9622356495468278,0.675226586102719,0.6027190332326284,0.6888217522658611,0.2870090634441088,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,56.0,66.0,0.9999972819907428,0.1686674246734451,0.994629370745692,0.1610069640541662,-0.8315595756933265,test,0.945619335347432,0.6873111782477341,0.918429003021148,0.675226586102719,0.6027190332326284,0.6873111782477341,0.24320241691842903,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,58.0,68.0,0.9999977170830808,0.1697522071257872,0.9864434157927972,0.1685226803222755,-0.8295977950059098,test,0.9516616314199395,0.6858006042296072,0.6918429003021148,0.6706948640483383,0.6027190332326284,0.6858006042296072,0.02114803625377648,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,60.0,70.0,0.9999968464012102,0.1777741980201128,0.9981387248415504,0.1749889667715297,-0.8404490940043317,test,0.9365558912386707,0.676737160120846,0.9607250755287009,0.6616314199395771,0.5996978851963746,0.676737160120846,0.2749244712990936,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,62.0,72.0,0.999998355457284,0.1683424952716029,0.9851619081073084,0.1682521381168724,-0.8515098859033693,test,0.9637462235649547,0.6873111782477341,0.6616314199395771,0.6706948640483383,0.5996978851963746,0.6706948640483383,0.025679758308157052,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,64.0,74.0,0.9999954033245944,0.1748276924580373,0.986892391263323,0.1741817361372209,-0.8513093571251109,test,0.8912386706948641,0.6812688821752266,0.7084592145015106,0.6646525679758308,0.5996978851963746,0.6812688821752266,0.04380664652567978,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,66.0,76.0,0.9999986545437032,0.1808479722604752,0.998340216671627,0.1776522241743668,-0.8729367646778572,test,0.9667673716012085,0.6722054380664653,0.9607250755287009,0.6601208459214502,0.5936555891238671,0.6722054380664653,0.30060422960725075,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,68.0,78.0,0.99999532287172,0.1783283909706114,0.9981415026822128,0.1766252300217209,-0.881423213972258,test,0.8897280966767371,0.676737160120846,0.9607250755287009,0.6601208459214502,0.5921450151057401,0.676737160120846,0.22960725075528698,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,70.0,80.0,0.9999992641999724,0.1698400162380277,0.998601898273242,0.1700182083731043,-0.8863549473428838,test,0.986404833836858,0.6858006042296072,0.9607250755287009,0.6676737160120846,0.5891238670694864,0.6858006042296072,0.2930513595166163,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,72.0,82.0,0.999998327531346,0.1750666816855936,0.999341977488402,0.1736081767410192,-0.8816528397973069,test,0.9637462235649547,0.6812688821752266,0.9652567975830816,0.6661631419939577,0.5891238670694864,0.6812688821752266,0.297583081570997,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,74.0,84.0,0.9999991902504718,0.1691726976416797,0.99942356089524,0.1697016959481855,-0.8815867482709911,test,0.986404833836858,0.6873111782477341,0.9652567975830816,0.6676737160120846,0.5891238670694864,0.6873111782477341,0.297583081570997,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,76.0,86.0,0.9999987878862536,0.1721042207335006,0.9994697689548916,0.1698775839675095,-0.8851594791860673,test,0.9697885196374623,0.6827794561933535,0.9652567975830816,0.6676737160120846,0.5891238670694864,0.6827794561933535,0.297583081570997,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,78.0,88.0,0.9999997829382486,0.1704203870652176,0.999765216556912,0.1725905586266775,-0.8837507511984045,test,1.0,0.6858006042296072,0.9788519637462235,0.6661631419939577,0.5891238670694864,0.6858006042296072,0.31268882175226587,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,80.0,90.0,0.9999979131312834,0.1754758532639049,0.9993612291568116,0.1736673387485973,-0.8755919645829147,test,0.9546827794561934,0.6812688821752266,0.9652567975830816,0.6661631419939577,0.5936555891238671,0.6812688821752266,0.28851963746223575,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,82.0,92.0,0.9999966749650304,0.1664374415331842,0.9989004674291484,0.1674971948785001,-0.8787594536003247,test,0.9290030211480362,0.6888217522658611,0.9622356495468278,0.6722054380664653,0.5936555891238671,0.6888217522658611,0.25679758308157097,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,84.0,94.0,0.999998355457284,0.1689246086941583,0.9986340021312456,0.1668432240728467,-0.8827837321408535,test,0.9637462235649547,0.6873111782477341,0.9607250755287009,0.6722054380664653,0.5891238670694864,0.6873111782477341,0.28851963746223563,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,86.0,96.0,0.9999923085699728,0.1628049051951506,0.9983635339781732,0.1613888920569503,-0.8770680301266454,test,0.770392749244713,0.6888217522658611,0.9607250755287009,0.675226586102719,0.5936555891238671,0.6888217522658611,0.095166163141994,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,88.0,98.0,0.9999945450339291,0.1658311767747637,0.9986185372626648,0.1623932961628418,-0.874335036982178,test,0.8655589123867069,0.6888217522658611,0.9607250755287009,0.6737160120845922,0.5936555891238671,0.6888217522658611,0.1918429003021147,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,90.0,100.0,0.9999973157771964,0.1644558237420184,0.9988341053955888,0.1622456570162894,-0.8868932801911541,test,0.945619335347432,0.6888217522658611,0.9607250755287009,0.6737160120845922,0.5891238670694864,0.6888217522658611,0.27190332326283984,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,92.0,102.0,0.999998327531346,0.176922820774637,0.9966840835176144,0.1781671581832894,-0.8938656080651868,test,0.9637462235649547,0.6782477341389728,0.9395770392749244,0.6601208459214502,0.5861027190332326,0.6782477341389728,0.27945619335347427,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,94.0,104.0,0.9999974361766332,0.1799911315092157,0.999765216556912,0.1765629949697363,-0.8919864454766872,test,0.945619335347432,0.6737160120845922,0.9788519637462235,0.6601208459214502,0.5861027190332326,0.6737160120845922,0.2854984894259819,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,96.0,106.0,0.9999966518053328,0.1811883065328792,0.9992429996378152,0.1771450275353831,-0.8875760616953176,test,0.9290030211480362,0.6722054380664653,0.9652567975830816,0.6601208459214502,0.5891238670694864,0.6722054380664653,0.2688821752265861,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,98.0,108.0,0.9999997829382486,0.1717877825133937,0.998997842801772,0.1716331392191835,-0.8729004752166829,test,1.0,0.6842900302114804,0.9622356495468278,0.6676737160120846,0.5936555891238671,0.6842900302114804,0.29456193353474325,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,100.0,110.0,0.9999979131312834,0.1634883365308673,0.9985742700945088,0.162331535656373,-0.8010061230889954,test,0.9546827794561934,0.6888217522658611,0.9607250755287009,0.6737160120845922,0.6042296072507553,0.6888217522658611,0.2809667673716012,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,102.0,112.0,0.999993768772268,0.1374470302102121,0.9981955740810534,0.1342061966001298,-0.7631852447477394,test,0.8308157099697885,0.7054380664652568,0.9607250755287009,0.6873111782477341,0.6238670694864048,0.7054380664652568,0.14350453172205435,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,104.0,114.0,0.9999628037715056,0.1240148619110326,0.9909189006900918,0.1189398310492552,-0.7093184047736456,test,0.5,0.7205438066465257,0.8126888217522659,0.7129909365558912,0.6948640483383686,0.7129909365558912,0.025679758308157163,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,106.0,116.0,0.9999501258195064,0.1475766528554526,0.9603651132874425,0.1366792051598689,-0.7345682894162989,test,0.459214501510574,0.6948640483383686,0.2809667673716012,0.6873111782477341,0.6570996978851964,0.6570996978851964,0.2280966767371601,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,108.0,118.0,0.9997498321996356,0.1928669747149463,0.959965187435926,0.1648643542274796,-0.7154952141107325,test,0.24622356495468278,0.648036253776435,0.2764350453172205,0.6722054380664653,0.6858006042296072,0.648036253776435,0.39577039274924475,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,110.0,120.0,0.999890119079738,0.2144643323597533,0.9127940793472984,0.1939030955485524,-0.711663029624925,test,0.3368580060422961,0.6238670694864048,0.05891238670694864,0.6238670694864048,0.6903323262839879,0.6238670694864048,0.2870090634441087,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,112.0,122.0,0.999876842274712,0.2203922574759164,0.9148858755537806,0.1950257591257287,-0.7040717540718886,test,0.32326283987915405,0.6238670694864048,0.061933534743202415,0.6238670694864048,0.7039274924471299,0.6238670694864048,0.30060422960725075,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,114.0,124.0,0.9999100302087792,0.2164224356070261,0.8735451228113668,0.2016265254708544,-0.7459726192393622,test,0.36253776435045315,0.6238670694864048,0.022658610271903322,0.6148036253776435,0.6465256797583081,0.6148036253776435,0.26132930513595165,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,116.0,126.0,0.9998558243294648,0.1698184988566866,0.9509053424384344,0.1759540363713594,-0.8397342407587975,test,0.30513595166163143,0.6858006042296072,0.21299093655589124,0.6601208459214502,0.5996978851963746,0.5996978851963746,0.3549848942598187,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,118.0,128.0,0.9999818378196615,0.1571698862974448,0.9022550220201084,0.1446247266346279,-0.7871497555462654,test,0.6072507552870091,0.6888217522658611,0.045317220543806644,0.6842900302114804,0.6072507552870091,0.6072507552870091,0.07703927492447127,5
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,120.0,130.0,0.999953775812638,0.120961249872467,0.9922247890277656,0.1192552107735927,-0.7832478198374534,test,0.4697885196374622,0.7311178247734139,0.8534743202416919,0.7114803625377644,0.6102719033232629,0.7114803625377644,0.12084592145015105,5
