recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,60.0,70.0,0.12126068376068376,0.14316239316239315,0.20833333333333334,0.125,0.12179487179487179,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,62.0,72.0,0.2553418803418803,0.12606837606837606,0.1987179487179487,0.10256410256410256,0.1997863247863248,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,64.0,74.0,0.266025641025641,0.057692307692307696,0.1014957264957265,0.06623931623931624,0.20085470085470086,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,66.0,76.0,0.7008547008547008,0.11431623931623931,0.14957264957264957,0.05555555555555555,0.37286324786324787,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,68.0,78.0,0.8990384615384616,0.0202991452991453,0.5977564102564102,0.0405982905982906,0.009615384615384616,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,70.0,80.0,0.8418803418803419,0.04700854700854701,0.11538461538461539,0.049145299145299144,0.1111111111111111,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,72.0,82.0,0.08547008547008547,0.027777777777777776,0.5806623931623932,0.04487179487179487,0.030982905982905984,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,74.0,84.0,0.8370726495726496,0.050213675213675216,0.5368589743589743,0.14102564102564102,0.3215811965811966,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,76.0,86.0,0.7264957264957265,0.028846153846153848,0.8563034188034188,0.11645299145299146,0.12713675213675213,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,78.0,88.0,0.9407051282051282,0.021367521367521368,0.8034188034188035,0.09935897435897435,0.16132478632478633,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,80.0,90.0,0.5117521367521367,0.013888888888888888,0.358974358974359,0.13568376068376067,0.19764957264957264,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,82.0,92.0,0.19337606837606838,0.03418803418803419,0.8050213675213675,0.17414529914529914,0.21047008547008547,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,84.0,94.0,0.8263888888888888,0.05876068376068376,0.6522435897435898,0.14636752136752137,0.17841880341880342,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,86.0,96.0,0.5726495726495726,0.05555555555555555,0.1997863247863248,0.18482905982905984,0.3803418803418803,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,88.0,98.0,0.5416666666666666,0.19658119658119658,0.49572649572649574,0.28739316239316237,0.266025641025641,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,90.0,100.0,0.4423076923076923,0.28952991452991456,0.7136752136752137,0.3034188034188034,0.11538461538461539,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,92.0,102.0,0.14262820512820512,0.2831196581196581,0.10309829059829059,0.3247863247863248,0.07692307692307693,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,94.0,104.0,0.004273504273504274,0.3482905982905983,0.24358974358974358,0.3579059829059829,0.10897435897435898,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,96.0,106.0,0.3787393162393162,0.4091880341880342,0.7879273504273504,0.3952991452991453,0.31517094017094016,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,98.0,108.0,0.6858974358974359,0.4230769230769231,0.9161324786324786,0.41452991452991456,0.22115384615384615,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,100.0,110.0,0.7361111111111112,0.4166666666666667,0.8862179487179487,0.41239316239316237,0.26816239316239315,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,102.0,112.0,0.8707264957264957,0.38782051282051283,0.3034188034188034,0.40064102564102566,0.37072649572649574,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,104.0,114.0,0.1875,0.38354700854700857,0.29594017094017094,0.3995726495726496,0.4423076923076923,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,106.0,116.0,0.0010683760683760685,0.38461538461538464,0.5138888888888888,0.3974358974358974,0.44551282051282054,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,108.0,118.0,0.010683760683760684,0.38675213675213677,0.5721153846153846,0.39850427350427353,0.4444444444444444,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,110.0,120.0,0.022435897435897436,0.4049145299145299,0.4342948717948718,0.4049145299145299,0.4658119658119658,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,112.0,122.0,0.2297008547008547,0.42094017094017094,0.042735042735042736,0.41773504273504275,0.4807692307692308,validation
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,114.0,124.0,0.6826923076923077,0.4412393162393162,0.561965811965812,0.4519230769230769,0.4198717948717949,validation
b439fc5983a3a0db22239d5dcf8cbebf9104a8b71a93c2afd75e75fe87301e46,0.0,10.0,0.3002136752136752,0.5523504273504274,0.4642094017094017,0.5363247863247863,0.5117521367521367,validation
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,0.0,10.0,0.5256410256410257,0.8547008547008547,0.4668803418803419,0.8450854700854701,0.6324786324786325,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,2.0,12.0,0.452991452991453,0.7702991452991453,0.8766025641025641,0.7414529914529915,0.5993589743589743,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,4.0,14.0,0.5918803418803419,0.6805555555555556,0.9305555555555556,0.6655982905982906,0.594017094017094,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,6.0,16.0,0.39850427350427353,0.6356837606837606,0.8643162393162394,0.6207264957264957,0.5758547008547008,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,8.0,18.0,0.45405982905982906,0.6378205128205128,0.8696581196581197,0.6111111111111112,0.5854700854700855,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,10.0,20.0,0.5833333333333334,0.6068376068376068,0.8418803418803419,0.5854700854700855,0.5865384615384616,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,12.0,22.0,0.5213675213675214,0.6217948717948718,0.9118589743589743,0.6014957264957265,0.5747863247863247,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,14.0,24.0,0.8402777777777778,0.6538461538461539,0.8963675213675214,0.6388888888888888,0.5715811965811965,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,16.0,26.0,0.9834401709401709,0.6698717948717948,0.9631410256410257,0.6581196581196581,0.5811965811965812,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,18.0,28.0,0.9193376068376068,0.6634615384615384,0.9599358974358975,0.6549145299145299,0.6260683760683761,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,20.0,30.0,0.9172008547008547,0.6826923076923077,0.8974358974358975,0.6677350427350427,0.6688034188034188,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,22.0,32.0,0.5560897435897436,0.6858974358974359,0.844551282051282,0.6773504273504274,0.7916666666666666,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,24.0,34.0,0.24145299145299146,0.7126068376068376,0.405982905982906,0.7029914529914529,0.8504273504273504,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,26.0,36.0,0.37553418803418803,0.7435897435897436,0.6292735042735043,0.7361111111111112,0.9038461538461539,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,28.0,38.0,0.4027777777777778,0.7916666666666666,0.5844017094017094,0.8055555555555556,0.8931623931623932,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,30.0,40.0,0.4594017094017094,0.7895299145299145,0.5566239316239316,0.7948717948717948,0.9081196581196581,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,32.0,42.0,0.47596153846153844,0.8034188034188035,0.16346153846153846,0.8012820512820513,0.8653846153846154,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,34.0,44.0,0.48878205128205127,0.8279914529914529,0.5165598290598291,0.8215811965811965,0.75,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,36.0,46.0,0.4182692307692308,0.8162393162393162,0.5192307692307693,0.811965811965812,0.6944444444444444,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,38.0,48.0,0.6271367521367521,0.8055555555555556,0.7692307692307693,0.7895299145299145,0.6666666666666666,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,40.0,50.0,0.7783119658119658,0.7884615384615384,0.8766025641025641,0.7777777777777778,0.6752136752136753,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,42.0,52.0,0.5897435897435898,0.7457264957264957,0.8472222222222222,0.7467948717948718,0.6581196581196581,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,44.0,54.0,0.8108974358974359,0.7425213675213675,0.9043803418803419,0.7222222222222222,0.6741452991452992,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,46.0,56.0,0.9172008547008547,0.7051282051282052,0.9091880341880342,0.7008547008547008,0.6655982905982906,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,48.0,58.0,0.9038461538461539,0.6848290598290598,0.9342948717948718,0.6805555555555556,0.6431623931623932,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,50.0,60.0,0.9556623931623932,0.6741452991452992,0.9225427350427351,0.6645299145299145,0.625,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,52.0,62.0,0.8621794871794872,0.6623931623931624,0.9081196581196581,0.657051282051282,0.6153846153846154,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,54.0,64.0,0.9855769230769231,0.6581196581196581,0.9428418803418803,0.6495726495726496,0.5886752136752137,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,56.0,66.0,0.905982905982906,0.6517094017094017,0.8365384615384616,0.6517094017094017,0.5908119658119658,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,58.0,68.0,0.9193376068376068,0.6474358974358975,0.6217948717948718,0.6367521367521367,0.592948717948718,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,60.0,70.0,0.8920940170940171,0.6282051282051282,0.9006410256410257,0.6196581196581197,0.5801282051282052,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,62.0,72.0,0.9449786324786325,0.6527777777777778,0.5956196581196581,0.6378205128205128,0.5694444444444444,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,64.0,74.0,0.844017094017094,0.6367521367521367,0.6378205128205128,0.6239316239316239,0.5705128205128205,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,66.0,76.0,0.9556623931623932,0.6207264957264957,0.9118589743589743,0.6132478632478633,0.5598290598290598,test
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,68.0,78.0,0.8402777777777778,0.6271367521367521,0.9017094017094017,0.6153846153846154,0.5534188034188035,test
