recording_id,split,control_candidate,rank,channels,lag_samples,lag_s,correlation,prominence,cycle_count,review_candidate
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,validation,False,2,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,31.1,0.11090056335465112,,2.881028938906752,False
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,validation,False,3,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,29.4,0.048937357720313865,,3.0476190476190474,False
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,validation,False,4,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,24.4,-0.03980352079089909,,3.6721311475409837,False
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,validation,False,5,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,18.0,-0.1231026404316669,,4.977777777777778,False
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,validation,True,1,"[""MC Duty Cycle [%]""]",,37.1,0.25668409277082255,,2.4150943396226414,True
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,validation,True,2,"[""MC Duty Cycle [%]""]",,30.0,0.16147004404681317,,2.9866666666666664,False
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,validation,True,3,"[""MC Duty Cycle [%]""]",,42.2,0.15122169607634853,,2.1232227488151656,False
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,validation,True,4,"[""MC Duty Cycle [%]""]",,33.5,0.12962106527591338,,2.6746268656716414,False
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,validation,True,5,"[""MC Duty Cycle [%]""]",,17.9,0.12081845251196516,,5.005586592178771,False
c5c639ca1fa3038e565a432a960cb53f6ce533ad9612d27f229f6527fcf0edac,test,True,1,"[""MC Duty Cycle [%]""]",,16.7,0.17685121652615557,,2.023952095808383,False
c5c639ca1fa3038e565a432a960cb53f6ce533ad9612d27f229f6527fcf0edac,test,True,2,"[""MC Duty Cycle [%]""]",,15.5,0.04589861245630735,,2.1806451612903226,False
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,test,False,1,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,23.3,0.28411505597447234,,2.48068669527897,True
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,test,False,2,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,18.8,0.2723363167961765,,3.074468085106383,True
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,test,False,3,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,28.1,0.08880686592884296,,2.0569395017793592,False
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,test,False,1,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,16.6,0.05477693709667301,,2.5180722891566263,False
