recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,0.0,10.0,0.439,0.558,0.267,0.576,0.34,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,2.0,12.0,0.551,0.336,0.043,0.46,0.176,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,4.0,14.0,0.49,0.3,0.036,0.388,0.156,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,6.0,16.0,0.618,0.26,0.032,0.354,0.144,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,8.0,18.0,0.644,0.252,0.038,0.332,0.086,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,10.0,20.0,0.653,0.22,0.074,0.34,0.088,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,12.0,22.0,0.697,0.294,0.133,0.444,0.01,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,14.0,24.0,0.656,0.288,0.193,0.474,0.026,train
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,16.0,26.0,0.723,0.366,0.148,0.516,0.002,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,0.0,10.0,0.917,0.816,0.864,0.848,0.544,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,2.0,12.0,0.798,0.846,0.808,0.874,0.546,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,4.0,14.0,0.783,0.838,0.784,0.888,0.558,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,6.0,16.0,0.779,0.85,0.787,0.904,0.562,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,8.0,18.0,0.838,0.8,0.856,0.836,0.552,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,10.0,20.0,0.791,0.806,0.883,0.898,0.622,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,12.0,22.0,0.947,0.828,0.927,0.902,0.582,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,14.0,24.0,0.776,0.784,0.78,0.854,0.632,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,16.0,26.0,0.888,0.814,0.971,0.86,0.594,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,18.0,28.0,0.933,0.854,0.965,0.844,0.628,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,20.0,30.0,0.863,0.826,0.837,0.828,0.616,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,22.0,32.0,0.824,0.832,0.819,0.872,0.618,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,24.0,34.0,0.832,0.868,0.81,0.802,0.578,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,26.0,36.0,0.854,0.86,0.822,0.88,0.626,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,28.0,38.0,0.86,0.888,0.887,0.842,0.63,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,30.0,40.0,0.846,0.864,0.853,0.812,0.54,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,32.0,42.0,0.829,0.918,0.847,0.83,0.526,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,34.0,44.0,0.894,0.882,0.894,0.852,0.532,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,36.0,46.0,0.905,0.842,0.891,0.806,0.512,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,38.0,48.0,0.922,0.878,0.954,0.81,0.524,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,40.0,50.0,0.971,0.852,0.935,0.89,0.584,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,42.0,52.0,0.818,0.87,0.819,0.868,0.586,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,44.0,54.0,0.863,0.876,0.837,0.824,0.572,train
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,46.0,56.0,0.813,0.886,0.867,0.814,0.62,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,0.0,10.0,0.554,0.37,0.156,0.392,0.164,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,2.0,12.0,0.526,0.44,0.295,0.41,0.174,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,4.0,14.0,0.745,0.392,0.166,0.394,0.188,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,6.0,16.0,0.7,0.424,0.598,0.466,0.154,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,8.0,18.0,0.628,0.194,0.333,0.24,0.096,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,10.0,20.0,0.707,0.208,0.018,0.232,0.82,train
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,12.0,22.0,0.358,0.206,0.114,0.238,0.81,train
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,0.0,10.0,0.995,0.986,0.991,0.928,0.386,train
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,2.0,12.0,0.962,0.996,0.958,0.93,0.376,train
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,4.0,14.0,0.986,0.992,0.986,0.924,0.37,train
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,6.0,16.0,0.999,0.988,0.999,0.922,0.372,train
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,8.0,18.0,0.991,0.984,0.995,0.914,0.374,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,0.0,10.0,0.875,0.742,0.923,0.722,0.446,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,2.0,12.0,0.901,0.736,0.961,0.704,0.436,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,4.0,14.0,0.92,0.728,0.914,0.698,0.442,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,6.0,16.0,0.881,0.752,0.879,0.708,0.478,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,8.0,18.0,0.951,0.74,0.93,0.694,0.466,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,10.0,20.0,0.822,0.75,0.824,0.696,0.46,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,12.0,22.0,0.796,0.758,0.806,0.706,0.468,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,14.0,24.0,0.842,0.766,0.83,0.728,0.462,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,16.0,26.0,0.878,0.772,0.951,0.714,0.444,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,18.0,28.0,0.835,0.776,0.827,0.742,0.456,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,20.0,30.0,0.794,0.768,0.816,0.736,0.47,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,22.0,32.0,0.734,0.77,0.768,0.73,0.472,train
